country,ECSA_status,iso3
Angola,Non-Member,AGO
Botswana,Non-Member,BWA
Burundi,Non-Member,BDI
Cameroon,Non-Member,CMR
Comoros,Non-Member,COM
Democratic Republic of the Congo,Non-Member,COD
Eritrea,Non-Member,ERI
Eswatini,Member,SWZ
Ethiopia,Non-Member,ETH
Gabon,Non-Member,GAB
Kenya,Member,KEN
Lesotho,Member,LSO
Liberia,Non-Member,LBR
Madagascar,Non-Member,MDG
Malawi,Member,MWI
Mauritius,Member,MUS
Mozambique,Non-Member,MOZ
Namibia,Non-Member,NAM
Niger,Non-Member,NER
Rwanda,Non-Member,RWA
Sao Tome and Principe,Non-Member,STP
Seychelles,Non-Member,SYC
Somalia,Non-Member,SOM
South Africa,Non-Member,ZAF
South Sudan,Non-Member,SSD
Sudan,Non-Member,SDN
Tanzania,Member,TZA
Uganda,Member,UGA
Zambia,Member,ZMB
Zimbabwe,Member,ZWE
